aton_type,value,system,systemIdType
CHD_WELFARE_ISS,CHILD WELFARE ISSUES,PORTICO,DISORDERS
EXPERT_WIT_TEST,EXPERT WITNESS TESTIMONY,PORTICO,DISORDERS
GAM,GAMBLING,PORTICO,DISORDERS
JUV_JUS_ISS,JUVENILE JUSTICE ISSUES,PORTICO,DISORDERS
LEAD_ANALYST,LEAD ANALYST,PORTICO,DISORDERS
MOL_GEN,MOLECULAR GENETIC,PORTICO,DISORDERS
MUL_SCL,MULTIPLE SCLEROSIS,PORTICO,DISORDERS
SEX_TRF,SEX TRAFFICKING,PORTICO,DISORDERS
SPEC_CHD_SER,SPECIALIZED CHILDREN SERVICES,PORTICO,DISORDERS
SUP_EMP,SUPPORTED EMPLOYMENT,PORTICO,DISORDERS
TRACH,TRACHEOSTOMY,PORTICO,DISORDERS
ABA_AUT_GRP,ABA Autism Group,PORTICO,DISORDERS
ABA_AUT_PRA,ABA Autism PRA,PORTICO,DISORDERS
CON_DAY_TRT,Continuing Day Treatment,PORTICO,DISORDERS
DIR_AUT_GRP,DIR Autism Group,PORTICO,DISORDERS
DIR_AUT_PRAC,DIR Autism Prac,PORTICO,DISORDERS
DYD_CARE,Dyadic Care,PORTICO,DISORDERS
STR_MED,Street Med,PORTICO,DISORDERS
NLP,NLP,PORTICO,DISORDERS
SOL_FOC_THERAPY,Solution Focused Therapy,PORTICO,DISORDERS
DEP_DISORDER,Dependence Disorders,PORTICO,DISORDERS
IP_DET,Inpatient Med Detox,PORTICO,DISORDERS
NON_MED_DET,Nonmedical Detox Facility,PORTICO,DISORDERS
SHT_TRM_SUBS_ABD,Short Term Res Subst Abuse,PORTICO,DISORDERS
SUBS_USE_DIS_LTR,Substance Use Disorder LT Res,PORTICO,DISORDERS
AMB_WTD_MGMT,Ambulatory Withdraw Man,PORTICO,DISORDERS
INT_OP_SUB_USE,Intensive Outpatient Subst Use,PORTICO,DISORDERS
PAR_CAR_SUB_ABS_DIS,Partial Care Subst Use Disorder,PORTICO,DISORDERS
OPD_TX,Opiod Treatment (TX),PORTICO,DISORDERS
OPD_TX_NMI,Opioid Tx - Non-Meth (Institutional),PORTICO,DISORDERS
OPD_TX_NMS,Opioid Tx - Non-Meth (Specialist),PORTICO,DISORDERS
OPD_TX_NMM,Opioid Tx - Non-Meth-MAT,PORTICO,DISORDERS
MED_ASSIST_TRT_WH_NAV,Med Asst Treatment w/ Navigator,PORTICO,DISORDERS
MED_ASSIST_TRT_WO_NAV,Med Ass Treatment w/o Navigator,PORTICO,DISORDERS
PREG_POST_RLT_MH,Pregnancy and postpartum related mental health,PORTICO,DISORDERS
PREG_POST_SUBS_ABS_DIS,Pregnancy and postpartum substance use disorders,PORTICO,DISORDERS
FAC_DISORDER,Facitious Disorders,PORTICO,DISORDERS
GEN_DYS,Gender Dysphoria,PORTICO,DISORDERS
SOM_SYM_DISORDER,Somatic Symptoms and Related Disorders,PORTICO,DISORDERS
SUB_ABUSE,Substance Use Dis,PORTICO,DISORDERS
SUB_ABS_DISORDER_OP,Subst Use Disorder Outpatient,PORTICO,DISORDERS
ADD_DISORDER,ADDICTIVE DIS,PORTICO,DISORDERS
ADD_ADHD,ADD/ADHD,PORTICO,DISORDERS
ADL_ADD,ADULT ADD,PORTICO,DISORDERS
ADJ_DIS,ADJUSTMENT DIS,PORTICO,DISORDERS
ANX_DIS,ANXIETY DIS,PORTICO,DISORDERS
CHR_ILL,CHRONIC/TERMINAL ILL,PORTICO,DISORDERS
DEPRESSSION,Depression,PORTICO,DISORDERS
CUL_ISS,CULTURAL,PORTICO,DISORDERS
DOM_ABS,DOMES ABUSE,PORTICO,DISORDERS
EAT_DIS,EATING DIS,PORTICO,DISORDERS
INFERTILITY,INFERTILITY,PORTICO,DISORDERS
LOSS,LOSS,PORTICO,DISORDERS
CHR_ILL,Chronic Illness,PORTICO,DISORDERS
MOOD_DISORDER,MOOD DIS,PORTICO,DISORDERS
PARENTING,PARENTING,PORTICO,DISORDERS
PERS_DISORDER,PERSONALITY DIS,PORTICO,DISORDERS
SCHIZ,SCHIZ DIS,PORTICO,DISORDERS
SEP_DIVORCE,DIVORCE,PORTICO,DISORDERS
SEX_DYS,SEX DYS,PORTICO,DISORDERS
SEX_PHY_ABS_ADL,S/P/A ADULTS,PORTICO,DISORDERS
SEX_PHY_ABS_CHD,S/P/A CHILD,PORTICO,DISORDERS
IMPULSE,IMPULSE,PORTICO,DISORDERS
STRESS_MGMT,STRESS MAN,PORTICO,DISORDERS
TRAUMA,Trauma/PTSD,PORTICO,DISORDERS
WRK_RLT_PROB,WORK PROB,PORTICO,DISORDERS
OTH,Other,PORTICO,DISORDERS

