aton_type,value,system,systemIdType
PSYCHODYNAMIC,PSYCHODYNAMIC,PORTICO,TREATMENT_MODALITIES
PSYCHOPHARM,PSYCHOPHARM,PORTICO,TREATMENT_MODALITIES
RAT_EM_TH,RATION EM THRPY,PORTICO,TREATMENT_MODALITIES
REL_DIS,RELATIONSHIP,PORTICO,TREATMENT_MODALITIES
FAM_SYS,FAMILY SYS,PORTICO,TREATMENT_MODALITIES
CRT,CRT,PORTICO,TREATMENT_MODALITIES
CPP,Child Parent Psy,PORTICO,TREATMENT_MODALITIES
CBT_BH,CBT Behaviors,PORTICO,TREATMENT_MODALITIES
PCIT,PCIT,PORTICO,TREATMENT_MODALITIES
STR_FM_PRG,Strengthening Fam/Prog,PORTICO,TREATMENT_MODALITIES
THER_MOD,Theraplay Model,PORTICO,TREATMENT_MODALITIES
TF_CBT,TF - CBT,PORTICO,TREATMENT_MODALITIES
TIC,TIC,PORTICO,TREATMENT_MODALITIES
TRIP_P_LEV_2,Triple P Level 2,PORTICO,TREATMENT_MODALITIES
TRIP_P_LEV_3,Triple P Level 3,PORTICO,TREATMENT_MODALITIES
TBRI,TBRI,PORTICO,TREATMENT_MODALITIES
IDD,IDD,PORTICO,TREATMENT_MODALITIES
PTSD,PTSD,PORTICO,TREATMENT_MODALITIES
GAM_PRB,GAMING,PORTICO,TREATMENT_MODALITIES
MHRS,MHRS,PORTICO,TREATMENT_MODALITIES
MHTCM,MHTCM,PORTICO,TREATMENT_MODALITIES
CSP,CSP,PORTICO,TREATMENT_MODALITIES
CSP_HOM,CSP HOMELESS,PORTICO,TREATMENT_MODALITIES
OB,OB,PORTICO,TREATMENT_MODALITIES
MAT,MAT,PORTICO,TREATMENT_MODALITIES
CER_ALC_DRG_COUN,CERTIFIED ALCOHOL DRUG COUNSELOR,PORTICO,TREATMENT_MODALITIES
CRT_ORD_MEN_EVAL,COURT ORDERED MENTAL EVALUATION,PORTICO,TREATMENT_MODALITIES
NUT_COUN,NUTRITIONAL COUNSELING,PORTICO,TREATMENT_MODALITIES
ITCT,ITCT,PORTICO,TREATMENT_MODALITIES
LCCCP,LCCCP,PORTICO,TREATMENT_MODALITIES
BH_MGMT_SER,Behavioral Mgmt Services,PORTICO,TREATMENT_MODALITIES
ADD_ADHD,ADD-ADHD,PORTICO,TREATMENT_MODALITIES
ADJ_DISORD,Adjustment Disorders,PORTICO,TREATMENT_MODALITIES
ANX_DISORD,Anxiety Disorders,PORTICO,TREATMENT_MODALITIES
ATT_DISORD,Attachment Disorders,PORTICO,TREATMENT_MODALITIES
AUT_SPEC,Autism Spectrum,PORTICO,TREATMENT_MODALITIES
COG_BH_TH,Cognitive Behavioral Ther,PORTICO,TREATMENT_MODALITIES
DIS_DISORD,Dissociative Disorders,PORTICO,TREATMENT_MODALITIES
DISR_BH_DISORD,Disruptive Behavior Dis,PORTICO,TREATMENT_MODALITIES
EAT_DISORD,Eating Disorders,PORTICO,TREATMENT_MODALITIES
IMP_DISORD,Impulse Disorders,PORTICO,TREATMENT_MODALITIES
FET_ALC_SYN,FETAL ALCOHOL SYNDROME,PORTICO,TREATMENT_MODALITIES
TBS,TBS,PORTICO,TREATMENT_MODALITIES
MST,MST,PORTICO,TREATMENT_MODALITIES
CBT_FOR_INS,CBT For Insomnia,PORTICO,TREATMENT_MODALITIES
DYD_DEV_TRT,Dyadic Development Treatment,PORTICO,TREATMENT_MODALITIES
NTX_MAG_STI,Naltrexone/Vivitrol,PORTICO,TREATMENT_MODALITIES
TRN_MAG_STI,Transcranial Magnetic Stimulation,PORTICO,TREATMENT_MODALITIES
FST,FST,PORTICO,TREATMENT_MODALITIES
SFT,SFT,PORTICO,TREATMENT_MODALITIES
EVAL,EVAL/ASSES,PORTICO,TREATMENT_MODALITIES
RELAPSE,RELAPSE,PORTICO,TREATMENT_MODALITIES
GP_TH,GROUP THER,PORTICO,TREATMENT_MODALITIES
INDIV,INDIV,PORTICO,TREATMENT_MODALITIES
FAMILY,FAMILY,PORTICO,TREATMENT_MODALITIES
PSY_TES,PSYCH TESTING,PORTICO,TREATMENT_MODALITIES
NEU_PSY_TES,NEURO PSYCH TEST,PORTICO,TREATMENT_MODALITIES
CRI_MGMT,CRISIS MGT,PORTICO,TREATMENT_MODALITIES
BIO_FB,Biofeedback,PORTICO,TREATMENT_MODALITIES
HYNOSIS,Hypnosis,PORTICO,TREATMENT_MODALITIES
STR_MGMT,Stress Management,PORTICO,TREATMENT_MODALITIES
MED_MGMT,MED MAN,PORTICO,TREATMENT_MODALITIES
COU_TH,COUPLES,PORTICO,TREATMENT_MODALITIES
CHEM_DEP_ASSES,CHEM DEP,PORTICO,TREATMENT_MODALITIES
COG_TH,COGNITIVE THER,PORTICO,TREATMENT_MODALITIES
EMDR,EMDR,PORTICO,TREATMENT_MODALITIES
ECT,ECT,PORTICO,TREATMENT_MODALITIES
CITT_INC_BRF,CRIT INC,PORTICO,TREATMENT_MODALITIES
BRIEF,BRIEF,PORTICO,TREATMENT_MODALITIES
OTH,Other,PORTICO,TREATMENT_MODALITIES
