code,value,classification,description
NLP,Neuro-Linguistic Programming (NLP),TREATMENT_MODALITIES,Neuro-Linguistic Programming (NLP)
OUT_ORT_TH,Outcomes Oriented Therapy,TREATMENT_MODALITIES,Outcomes Oriented Therapy
PAIN_MGMT,Pain Management,TREATMENT_MODALITIES,Pain Management
PAR_CHD_TH,Parent-Child Therapy,TREATMENT_MODALITIES,Parent-Child Therapy
PSYCHOANALYTIC,Psychoanalytic Therapy,TREATMENT_MODALITIES,Psychoanalytic Therapy
PSYCHODYNAMIC,Psychodynamic Therapy,TREATMENT_MODALITIES,Psychodynamic Therapy
PSYCHOPHARM,Psychopharmacology,TREATMENT_MODALITIES,Psychopharmacology
RAT_EM_TH,Rationale Emotive Therapy,TREATMENT_MODALITIES,Rationale Emotive Therapy
REL_DIS,Treatment of relationship disorders,TREATMENT_MODALITIES,Treatment of relationship disorders
FAM_SYS,Treatment of Family systems,TREATMENT_MODALITIES,Treatment of Family systems
CRT,Cognitive Rehab Therapy,TREATMENT_MODALITIES,Cognitive Rehab Therapy
CPP,Child Parent Psychotherapy (CPP),TREATMENT_MODALITIES,Child Parent Psychotherapy (CPP)
CBT_BH,"CBT for Anxiety, Behaviors and Depression",TREATMENT_MODALITIES,"CBT for Anxiety, Behaviors and Depression"
PCIT,Parent Child Interaction Therapy (PCIT),TREATMENT_MODALITIES,Parent Child Interaction Therapy (PCIT)
STR_FM_PRG,Strengthening Families Program,TREATMENT_MODALITIES,Strengthening Families Program
THER_MOD,Theraplay Model (Promising Practice),TREATMENT_MODALITIES,Theraplay Model (Promising Practice)
TF_CBT,Trauma Focused Cognitive Behavioral Therapy (TF-CBT),TREATMENT_MODALITIES,Trauma Focused Cognitive Behavioral Therapy (TF-CBT)
TIC,Trauma Informed Care (TIC),TREATMENT_MODALITIES,Trauma Informed Care (TIC)
TRIP_P_LEV_2,Triple P (Positive parenting program)Level 2 ,TREATMENT_MODALITIES,Triple P (Positive parenting program)Level 2 
TRIP_P_LEV_3,Triple P (Positive parenting program)Level 3,TREATMENT_MODALITIES,Triple P (Positive parenting program)Level 3
TBRI,Trust Based Relational Intervention (TBRI),TREATMENT_MODALITIES,Trust Based Relational Intervention (TBRI)
IDD,Intellectual Development Disorders,TREATMENT_MODALITIES,Intellectual Development Disorders
PTSD,Treatment of Post Traumatic Stress Disorder,TREATMENT_MODALITIES,Treatment of Post Traumatic Stress Disorder
GAM_PRB,Treatment of gaming problems,TREATMENT_MODALITIES,Treatment of gaming problems
MHRS,Mental Health Rehabilitation Services,TREATMENT_MODALITIES,Mental Health Rehabilitation Services
MHTCM,Mental Health Targeted Case Management,TREATMENT_MODALITIES,Mental Health Targeted Case Management
CSP,Community Support Program,TREATMENT_MODALITIES,Community Support Program
CSP_HOM,Community Support Program Homeless,TREATMENT_MODALITIES,Community Support Program Homeless
OB,OB,TREATMENT_MODALITIES,OB
MAT,Medication Assisted Treatment (MAT),TREATMENT_MODALITIES,Medication Assisted Treatment (MAT)
CER_ALC_DRG_COUN,Certified Alcohol and Drug Counselor,TREATMENT_MODALITIES,Certified Alcohol and Drug Counselor
CRT_ORD_MEN_EVAL,Court Ordered Mental Evaluation,TREATMENT_MODALITIES,Court Ordered Mental Evaluation
NUT_COUN,Nutritional Counseling,TREATMENT_MODALITIES,Nutritional Counseling
ITCT,Integrative Treatment of Complex Trauma,TREATMENT_MODALITIES,Integrative Treatment of Complex Trauma
LCCCP,LCCCP,TREATMENT_MODALITIES,LCCCP
BH_MGMT_SER,Behavioral Management Services,TREATMENT_MODALITIES,Behavioral Management Services
ADD_ADHD,ADD-ADHD,TREATMENT_MODALITIES,ADD-ADHD
ADJ_DISORD,Treatment of adjustment disorders,TREATMENT_MODALITIES,Treatment of adjustment disorders
ANX_DISORD,Treatment of anxiety disorders,TREATMENT_MODALITIES,Treatment of anxiety disorders
ATT_DISORD,Treatment of attachment disorders,TREATMENT_MODALITIES,Treatment of attachment disorders
AUT_SPEC,Autism Spectrum,TREATMENT_MODALITIES,Autism Spectrum
COG_BH_TH,Cognitive Behavioral Therapy,TREATMENT_MODALITIES,Cognitive Behavioral Therapy
DIS_DISORD,Dissociative Disorders,TREATMENT_MODALITIES,Dissociative Disorders
DISR_BH_DISORD,Disruptive Behavior Disorders,TREATMENT_MODALITIES,Disruptive Behavior Disorders
EAT_DISORD,Eating Disorders,TREATMENT_MODALITIES,Eating Disorders
IMP_DISORD,Impulse Disorders,TREATMENT_MODALITIES,Impulse Disorders
FET_ALC_SYN,Fetal Alcohol Syndrome,TREATMENT_MODALITIES,Fetal Alcohol Syndrome
TBS,Therapeutic Behavioral Services,TREATMENT_MODALITIES,Therapeutic Behavioral Services
MST,Multi-Systemic Therapy (MST),TREATMENT_MODALITIES,Multi-Systemic Therapy (MST)
CBT_FOR_INS,CBT For Insomnia,TREATMENT_MODALITIES,CBT For Insomnia
DYD_DEV_TRT,Dyadic Development Treatment,TREATMENT_MODALITIES,Dyadic Development Treatment
NTX_MAG_STI,Naltrexone/Vivitrol,TREATMENT_MODALITIES,Naltrexone/Vivitrol
TRN_MAG_STI,Transcranial Magnetic Stimulation,TREATMENT_MODALITIES,Transcranial Magnetic Stimulation
FST,Family Support and Training,TREATMENT_MODALITIES,Family Support and Training
SFT,Solution Focused Therapy,TREATMENT_MODALITIES,Solution Focused Therapy
EVAL,Evaluation/Assessment,TREATMENT_MODALITIES,Evaluation/Assessment
RELAPSE,Relapse Prevention,TREATMENT_MODALITIES,Relapse Prevention
GP_TH,Group Therapy,TREATMENT_MODALITIES,Group Therapy
INDIV,Individual Therapy,TREATMENT_MODALITIES,Individual Therapy
FAMILY,Family Therapy,TREATMENT_MODALITIES,Family Therapy
PSY_TES,Psychological Testing,TREATMENT_MODALITIES,Psychological Testing
NEU_PSY_TES,Neuropsychological Testing,TREATMENT_MODALITIES,Neuropsychological Testing
CRI_MGMT,Crisis Management,TREATMENT_MODALITIES,Crisis Management
BIO_FB,Biofeedback,TREATMENT_MODALITIES,Biofeedback
HYNOSIS,Hypnosis,TREATMENT_MODALITIES,Hypnosis
STR_MGMT,Stress Management,TREATMENT_MODALITIES,Stress Management
MED_MGMT,Medication Management,TREATMENT_MODALITIES,Medication Management
COU_TH,Couples Therapy,TREATMENT_MODALITIES,Couples Therapy
CHEM_DEP_ASSES,Chemical Dependency Assessment,TREATMENT_MODALITIES,Chemical Dependency Assessment
COG_TH,Cognitive Therapy,TREATMENT_MODALITIES,Cognitive Therapy
EMDR,Eye movement desensitization and reprocessing,TREATMENT_MODALITIES,Eye movement desensitization and reprocessing
ECT,Electroconvulsive Therapy,TREATMENT_MODALITIES,Electroconvulsive Therapy
CITT_INC_BRF,Critical Incident Debriefing,TREATMENT_MODALITIES,Critical Incident Debriefing
BRIEF,Treatment of brief therapy,TREATMENT_MODALITIES,Treatment of brief therapy
OTH,Other treatment,TREATMENT_MODALITIES,Other treatment
